j1k-0002|ゴジン|"閣下よ、<span class=""underline-kunyomi"">ゴジン</span>は閣下に向かって『天下不品行漢の巨魁』ちょう忌むべき宣告を下さざるべからざるなり。"|吾人|木下尚江|「新聞論説集」|音読み|"<span class=""boldtype"">吾人</span><br>　われわれ。わたくし。<br>（英）<span lang=""en-US"">we; I</span><br>"|"<!-- Kanji: 吾 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">吾</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ゴ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">われ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">わ<span class=""graycolor"">が</span></div></div>
    </div>
</div>
<!-- Kanji: 人 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">人</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ジン</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ニン</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ひと</div></div>
    </div>
</div>
"|3
j1k-0001|ヨウヤ|"彼は<span class=""underline-kunyomi"">ヨウヤ</span>く機の下から<ruby>匍<rt>は</rt></ruby>い出す。最早、鋭利な錐の先を以て<ruby>瞼<rt>まぶた</rt></ruby>を突かれても、まばたきをせぬ迄になっていた。"|漸|中島敦|「名人伝」|訓読み|"<span class=""boldtype"">漸く</span><br>　やっとのことで。少しずつ。<br>（英）<span lang=""en-US"">at last; barely; gradually</span><br>"|"<!-- Kanji: 漸 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">漸</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ゼン</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ザン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△ようや<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すす<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△やや</div></div>
    </div>
</div>
"|3
j1k-0047|シノ|"威福両つながら備えて、権勢ほとほと新司を<span class=""underline-kunyomi"">シノ</span>ぎ、互いに<ruby>軋<rt>あつ</rt></ruby><ruby>轢<rt>れき</rt></ruby>して国政を渋滞せしめたりき。"|凌|三浦周行|「天慶の乱を論ず」|訓読み|"<span class=""boldtype"">凌ぐ</span><br>　乗り越えて進む。なんとか切り抜ける。<br>（英）<span lang=""en-US"">to endure; to surpass</span><br>"|"<!-- Kanji: 凌 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">凌</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">リョウ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">しの<span class=""graycolor"">ぐ</span></div></div>
    </div>
</div>
"|1
j1k-0010|ハ|"峠路で時々炭売りの婦たちに出あうことがある。彼女等は一様に誰も皆山袴を<span class=""underline-kunyomi"">ハ</span>き、負い子に空俵を結びつけてあったり提灯や菅笠などを吊してあったりする。"|穿|飯田蛇笏|「茸をたずねる」|訓読み|"<span class=""boldtype"">穿く（履く）</span><br>　足を通して下半身に着る。<br>（英）<span lang=""en-US"">to wear lower-body clothing</span><br>（<span lang=""en-US"">In careful usage: <ruby>履<rt>は</rt></ruby>くis used for shoes, while <ruby>穿<rt>は</rt></ruby>く is used for trousers, skirts, and underwear.</span>）<br>"|"<!-- Kanji: 穿 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">穿</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">セン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うが<span class=""graycolor"">つ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">は<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">つらぬ<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ほじ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ほじく<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|2
j1k-0011|ムク|"<ruby>蘇<rt>そ</rt></ruby><ruby>東<rt>とう</rt></ruby><ruby>坡<rt>ば</rt></ruby>は茶の清浄<span class=""underline-kunyomi"">ムク</span>な力に就いて、真に有徳の君子の如く汚すことが出来ないと書いている。"|無垢|岡倉天心著　村岡博訳|「茶の本」|音読み|"<span class=""boldtype"">清浄無垢</span><br>　清らかで汚れのないさま。<br>（英）<span lang=""en-US"">immaculate and pure</span><br><span class=""boldtype"">清浄</span><br>　清らかで汚れのないこと。<br>（英）<span lang=""en-US"">pure; clean</span><br><span class=""boldtype"">無垢</span><br>　混じり物のないこと。純粋なこと。<br>（英）<span lang=""en-US"">innocent; pure</span><br>"|"<!-- Kanji: 無 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">無</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ム</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ブ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">な<span class=""graycolor"">い</span></div></div>
    </div>
</div>
<!-- Kanji: 垢 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">垢</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">コウ</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ク</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あか</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">よご<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">けが<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">はじ</div></div>
    </div>
</div>
"|2
j1k-0003|マキエ|"三人の友だちとは、俳人の露柴、洋画家の風中、<span class=""underline-kunyomi"">マキエ</span>師の如丹、――三人とも本名は明さないが、その道では知られた腕っ扱きである。"|蒔絵|芥川龍之介|「魚河岸」|訓読み|"<span class=""boldtype"">蒔絵</span><br>　模様を描いた漆器の表面に金粉や銀粉を散らす漆工芸。<br>（英）<span lang=""en-US"">lacquerware sprinkled with gold or silver powder</span><br><div class=""photo""><div class=""polaroid""><img src=""makie_lacquer.jpg""><div class=""caption"">作者：<a href=""https://www.fujibi.or.jp/our-collection/profile-of-works.html?work_id=7189"" target=""_blank"">東京富士美術館</a><br>許可：<a href=""https://creativecommons.org/publicdomain/zero/1.0/"" target=""_blank"">CC0 1.0</a></div></div></div>"|"<!-- Kanji: 蒔 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">蒔</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">シ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">う<span class=""graycolor"">える</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ま<span class=""graycolor"">く</span></div></div>
    </div>
</div>
<!-- Kanji: 絵 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">絵</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カイ</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">エ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading""></div></div>
    </div>
</div>
"|2
j1k-0005|ヌ|"纏いしは袷一枚、裾は短かく<ruby>襤褸<rt>ぼろ</rt></ruby>下がり<span class=""underline-kunyomi"">ヌ</span>れしまま僅かに<ruby>脛<rt>すね</rt></ruby>を隠せり。"|濡|国木田独歩|「源おじ」|訓読み|"<span class=""boldtype"">濡れる</span><br>　表面に水などがつく。水がかかる。<br>（英）<span lang=""en-US"">to get wet</span><br>"|"<!-- Kanji: 濡 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">濡</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジュ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うるお<span class=""graycolor"">う</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ぬ<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">とどこお<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こら<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|2
j1k-0012|ロウバイ|"蒸気電信の勢力は斯くの如しと<ruby>雖<rt>いえど</rt></ruby>も、特に西洋人の私有に非ず。其の発明は西洋に在りと雖も、西人も自ら之を発明し今日僅かに其の功用を試みて自ら其の勢力が強大なるに<ruby>驚<rt>きょう</rt></ruby><ruby>駭<rt>がい</rt></ruby>し又<span class=""underline-kunyomi"">ロウバイ</span>する者なり。"|狼狽|福沢諭吉|「民情一新」|音読み|"<span class=""boldtype"">狼狽</span><br>　不意の出来事などにうろたえて、慌てふためくこと。<br>（英）<span lang=""en-US"">panic; confusion</span><br>"|"<!-- Kanji: 狼 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">狼</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ロウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おおかみ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">みだ<span class=""graycolor"">れる</span></div></div>
    </div>
</div>
<!-- Kanji: 狽 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">狽</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">バイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading""></div></div>
    </div>
</div>
"|2
j1k-0013|スゲガサ|"峠路で時々炭売りの婦たちに出あうことがある。彼女等は一様に誰も皆山袴を穿き、負い子に空俵を結びつけてあったり提灯や<span class=""underline-kunyomi"">スゲガサ</span>などを吊してあったりする。"|菅笠|飯田蛇笏|「茸をたずねる」|訓読み|"<span class=""boldtype"">菅笠</span><br>　スゲの葉で編んだ笠。<br>（英）<span lang=""en-US"">sedge-woven hat</span><br><div class=""photo""><div class=""polaroid""><img src=""sugegasa_hat.jpg""><div class=""caption"">作者：<a href=""https://www.flickr.com/photos/mrhayata/"" target=""_blank"">mrhayata</a><br>許可：<a href=""https://creativecommons.org/licenses/by-sa/2.0/"" target=""_blank"">CC BY-SA 2.0</a></div></div></div>"|"<!-- Kanji: 菅 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">菅</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カン</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">すげ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">すが</div></div>
    </div>
</div>
<!-- Kanji: 笠 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">笠</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">リュウ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">かさ</div></div>
    </div>
</div>
"|2
j1k-0006|ユウトウ|"渠等が或いは<ruby>賈人<rt>あきゅうど</rt></ruby>と結托して生徒に筆墨紙を売り附け或いは生徒の待遇に故意の厚薄をなして父兄に私の贈遺を促し、甚だしきは淫酒に<ruby>沈<rt>ちん</rt></ruby><ruby>湎<rt>めん</rt></ruby>し、<span class=""underline-kunyomi"">ユウトウ</span>殆ど言語に絶するものあり。"|遊蕩・（游蕩）|内田魯庵|「時文小言」|音読み|"<span class=""boldtype"">遊蕩</span><br>　酒や女遊びにふけること。放蕩。<br>（英）<span lang=""en-US"">debauchery; self-indulgent pleasures</span><br>"|"<!-- Kanji: 遊 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">遊</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ユウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ユ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　あそ<span class=""graycolor"">ぶ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すさ<span class=""graycolor"">び</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すさ<span class=""graycolor"">ぶ</span></div></div>
    </div>
</div>
<!-- Kanji: 蕩 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">蕩</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">トウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うご<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">とろ<span class=""graycolor"">ける</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">の<span class=""graycolor"">びやか</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ほしいまま</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">みだ<span class=""graycolor"">す</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">はら<span class=""graycolor"">う</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あら<span class=""graycolor"">う</span></div></div>
    </div>
</div>
"|2
