j1k-0001|退|退潮|退蔵|"経済の<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>潮が一層進行した。<br>その絵画は<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>蔵されていた。"|"<span class=""rightanswer"">たい</span>&nbsp;・&nbsp;のう&nbsp;・&nbsp;へき"|"<span class=""boldtype"">退潮</span><br>　潮が引くこと。引き潮。比喩的に、勢いが衰えること。退勢。<br>（英）<span lang=""en-US"">ebb tide; decline</span><br><span class=""boldtype"">退蔵</span><br>　物品を使用することなく、しまいこんでおくこと。<br>（英）<span lang=""en-US"">hoarding; storing away without using</span><br>"|"<!-- Kanji: 退 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">退</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">タイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　しりぞ<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　しりぞ<span class=""graycolor"">ける</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△の<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△の<span class=""graycolor"">ける</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すさ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△しさ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ひ<span class=""graycolor"">く</span></div></div>
    </div>
</div>
"|4
j1k-0034|衷|衷情|微衷|"手紙で<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>情を伝える。<br>幕府のために微<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>を尽くす。"|"ぎょう&nbsp;・&nbsp;<span class=""rightanswer"">ちゅう</span>&nbsp;・&nbsp;ちょく"|"<span class=""boldtype"">衷情・中情</span><br>　本心。衷心。まごころ。<br>（英）<span lang=""en-US"">inner feelings</span><br><span class=""boldtype"">微衷</span><br>　自分の本心。微意。<br>（英）<span lang=""en-US"">one's humble feelings</span><br>"|"<!-- Kanji: 衷 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">衷</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">チュウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△うち</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△こころ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△まこと</div></div>
    </div>
</div>
"|2
j1k-0003|弊|弊履|時弊|"<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>履の如く捨てるべきだ。<br>時<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>を打破せんとする。"|"じ&nbsp;・&nbsp;ひょう&nbsp;・&nbsp;<span class=""rightanswer"">へい</span>"|"<span class=""boldtype"">弊履</span><br>　<ruby><span class=""kun-mnemonic"">弊</span><rt><span class=""kun-rt"">やぶ</span></rt></ruby>れた<ruby><span>履</span><rt><span>くつ</span></rt></ruby>。何の価値もないもののたとえ。<br>（英）<span lang=""en-US"">worn-out shoes; trash</span><br><span class=""boldtype"">時弊</span><br>　その時代の悪習や弊害。<br>（英）<span lang=""en-US"">evils of the time; contemporary issues</span><br>"|"<!-- Kanji: 弊 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">弊</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ヘイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△やぶ<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△つか<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲つい<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|3
j1k-0019|佳|佳什|佳肴|"多くの<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>什を遺されていた。<br>山海の<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>肴をもって饗す。"|"いつ&nbsp;・&nbsp;<span class=""rightanswer"">か</span>&nbsp;・&nbsp;じゃく"|"<span class=""boldtype"">佳什</span><br>　すぐれた詩歌。<br>（英）<span lang=""en-US"">excellent poem</span><br><span class=""boldtype"">嘉肴（佳肴）</span><br>　うまい酒のさかな。おいしい料理。<br>（英）<span lang=""en-US"">delicacy</span><br>"|"<!-- Kanji: 佳 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">佳</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">カ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△よ<span class=""graycolor"">い</span></div></div>
    </div>
</div>
"|2
j1k-0024|芳|芳紀|芳情|"<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>紀十八歳の才色兼備だ。<br>ご<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>情に感謝申し上げます。"|"は&nbsp;・&nbsp;<span class=""rightanswer"">ほう</span>&nbsp;・&nbsp;わく"|"<span class=""boldtype"">芳紀</span><br>　女性の美しさが現れる年頃を言う語。<br>（英）<span lang=""en-US"">woman who has just come of age</span><br><span class=""boldtype"">芳情</span><br>　他人の厚意を敬って言う語。芳志。<br>（英）<span lang=""en-US"">kind intentions</span><br>"|"<!-- Kanji: 芳 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">芳</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ホウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　かんば<span class=""graycolor"">しい</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△かお<span class=""graycolor"">り</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△かぐわ<span class=""graycolor"">しい</span></div></div>
    </div>
</div>
"|2
j1k-0028|隆|隆昌|隆替|"近世全期を通じて<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>昌を極めた。<br>王朝の<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>替も時運による。"|"さん&nbsp;・&nbsp;ひょう&nbsp;・&nbsp;<span class=""rightanswer"">りゅう</span>"|"<span class=""boldtype"">隆昌</span><br>　盛んなこと。栄えること。<br>（英）<span lang=""en-US"">prosperity</span><br><span class=""boldtype"">隆替</span><br>　盛んになることと、衰えること。消長。<br>（英）<span lang=""en-US"">rise and decline</span><br>"|"<!-- Kanji: 隆 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">隆</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">リュウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たか<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△さか<span class=""graycolor"">ん</span></div></div>
    </div>
</div>
"|2
j1k-0025|鬼|鬼籍|債鬼|"父が<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>籍に入った。<br>債<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>に追われる身となった。"|"かく&nbsp;・&nbsp;<span class=""rightanswer"">き</span>&nbsp;・&nbsp;じょう"|"<span class=""boldtype"">鬼籍</span><br>　死者の名や死亡日などを記す帳面。過去帳。<br>（英）<span lang=""en-US"">necrology; list of those who have died</span><br><span class=""boldtype"">債鬼</span><br>　借金の返済を厳しく迫る人。借金取り。<br>（英）<span lang=""en-US"">cruel debt collector</span><br>"|"<!-- Kanji: 鬼 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">鬼</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">キ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おに</div></div>
    </div>
</div>
"|2
j1k-0017|更|更正|深更|"過去の登記を<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>正する。<br>昨日は深<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>まで起きていた。"|"がい&nbsp;・&nbsp;<span class=""rightanswer"">こう</span>&nbsp;・&nbsp;れい"|"<span class=""boldtype"">更正</span><br>　誤りを<ruby><span>正</span><rt><span>ただ</span></rt></ruby>しく<ruby><span class=""kun-mnemonic"">更</span><rt><span class=""kun-rt"">あらた</span></rt></ruby>めること。<br>（英）<span lang=""en-US"">correction; revision</span><br><span class=""boldtype"">深更</span><br>　真夜中。深夜。<br>（英）<span lang=""en-US"">middle of the night</span><br>"|"<!-- Kanji: 更 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">更</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">コウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　さら</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　ふ<span class=""graycolor"">ける</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　ふ<span class=""graycolor"">かす</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△か<span class=""graycolor"">える</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△あらた<span class=""graycolor"">める</span></div></div>
    </div>
</div>
"|2
j1k-0033|凶|凶行|凶変|"銃による<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>行が繰り返された。<br>突然の<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>変に右往左往する。"|"<span class=""rightanswer"">きょう</span>&nbsp;・&nbsp;たい&nbsp;・&nbsp;ぼう"|"<span class=""boldtype"">兇行（凶行）</span><br>　殺人・傷害などの極悪な行為。<br>（英）<span lang=""en-US"">act of violence; violent crime</span><br><span class=""boldtype"">兇変（凶変）</span><br>　不吉な出来事。<br>（英）<span lang=""en-US"">catastrophe; disaster</span><br>"|"<!-- Kanji: 凶 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">凶</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">キョウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△わる<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△わざわ<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△おそ<span class=""graycolor"">れる</span></div></div>
    </div>
</div>
"|2
j1k-0035|跡|真跡|不行跡|"真<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>の書が一切残っていない。<br>会社の経営者は不行<span class=""inline-paren-big"">(</span><span class=""inline-num-tall""> </span><span class=""inline-paren-big"">)</span>を働いた。"|"<span class=""rightanswer"">せき</span>&nbsp;・&nbsp;へい&nbsp;・&nbsp;ほう"|"<span class=""boldtype"">真跡</span><br>　その人が実際に書いたと確実に認められる筆跡。真筆。<br>（英）<span lang=""en-US"">a person's actual handwriting</span><br><span class=""boldtype"">不行跡</span><br>　身持ちがよくないこと。行いがよくないこと。<br>（英）<span lang=""en-US"">misconduct</span><br>"|"<!-- Kanji: 跡 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">跡</div></div>
    </div>
    <div class=""css-row on-readings"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　セキ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△シャク</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あと</div></div>
    </div>
</div>
"|2
